Name,m_Name,H09,logg,Teff,Fbol,__Fe_H_,__a_Fe_,RV,ageMLP,M.MLP,SimbadName,RA,DEC
b'HD 28246',b'',b'H09',4.300000190734863,6589.0,7.198399742947004e-08,0.029999999329447746,-0.019999999552965164,15.199999809265137,0.5,1.3300000429153442,b'HD 28246',66.32958333333333,-44.16083333333333
b'HD 28880',b'',b'H09',4.360000133514404,6428.0,8.327000422525543e-09,-0.009999999776482582,-0.019999999552965164,42.400001525878906,0.10000000149011612,1.2400000095367432,b'HD 28880',68.29083333333332,4.97
b'HD 28911',b'',b'H09',4.260000228881836,6735.0,6.139399744142793e-08,0.07999999821186066,0.0,35.0,0.6000000238418579,1.399999976158142,b'HD 28911',68.44416666666666,13.251666666666667
b'HD 28981',b'',b'H09',4.389999866485596,6316.0,1.5510000395124734e-08,-0.20999999344348907,0.10000000149011612,25.899999618530273,0.10000000149011612,1.1399999856948853,b'HD 28981',68.28333333333333,-19.358333333333334
b'HD 29150',b'',b'H09',4.489999771118164,5748.0,2.571399981832201e-08,-0.03999999910593033,0.0,-7.199999809265137,0.20000000298023224,0.9900000095367432,b'HD 29150',69.05791666666666,21.53638888888889
b'HD 29302',b'',b'H09',4.340000152587891,6603.0,1.7148000353017778e-08,-0.18000000715255737,0.07999999821186066,-9.5,0.20000000298023224,1.2699999809265137,b'HD 29302',69.07999999999998,-17.44388888888889
b'HD 29446',b'',b'H09',4.269999980926514,6650.0,3.080999988469557e-08,0.05999999865889549,-0.029999999329447746,17.799999237060547,0.8999999761581421,1.3700000047683716,b'HD 29446',69.01874999999998,-45.13611111111111
b'HD 29621',b'',b'H09',4.510000228881836,5683.0,8.070699664131098e-09,0.029999999329447746,0.0,34.400001525878906,0.10000000149011612,0.9900000095367432,b'HD 29621',70.20416666666667,23.809444444444445
b'HD 29818',b'',b'H09',4.480000019073486,5656.0,9.028299885471824e-09,-0.11999999731779099,-0.019999999552965164,46.400001525878906,0.10000000149011612,0.9399999976158142,b'HD 29818',71.04625,46.96527777777778
b'HD 30053',b'',b'H09',4.409999847412109,6177.0,1.4781000423624846e-08,-0.3499999940395355,0.17000000178813934,8.899999618530273,0.10000000149011612,1.090000033378601,b'HD 30053',70.33208333333333,-52.62555555555556
b'HD 30286',b'',b'H09',4.539999961853027,5683.0,2.0658999844158643e-08,-0.12999999523162842,0.05000000074505806,18.100000381469727,0.10000000149011612,0.9599999785423279,b'HD 30286',71.56833333333331,3.268611111111111
b'HD 30324',b'',b'H09',4.300000190734863,6780.0,1.6365000021778542e-08,-0.05999999865889549,0.05999999865889549,,0.30000001192092896,1.3799999952316284,b'HD 30324',70.58749999999999,-63.21555555555556
b'HD 30505',b'',b'H09',4.53000020980835,5300.0,7.843100391369262e-09,0.05000000074505806,-0.07000000029802322,41.0,0.10000000149011612,0.8799999952316284,b'HD 30505',72.26458333333332,18.641111111111112
b'HD 30913',b'',b'H09',4.260000228881836,6707.0,4.782799933877868e-08,-0.029999999329447746,0.0,,0.8999999761581421,1.3600000143051147,b'HD 30913',72.98791666666666,9.8725
b'HD 31261',b'',b'H09',4.590000152587891,5122.0,7.770499799164554e-09,-0.019999999552965164,-0.07999999821186066,10.199999809265137,0.10000000149011612,0.8199999928474426,b'HD 31261',72.83541666666665,-53.405833333333334
b'HD 31362',b'',b'H09',4.25,6910.0,7.643399868584311e-08,-0.20999999344348907,0.09000000357627869,-9.0,0.800000011920929,1.3799999952316284,b'HD 31362',74.06458333333333,24.591944444444444
b'HD 31781',b'',b'H09',4.389999866485596,6119.0,1.1345999695322462e-08,0.0,-0.019999999552965164,16.5,0.8999999761581421,1.1299999952316284,b'HD 31781',74.91125,26.249722222222225
b'HD 32793',b'',b'H09',4.53000020980835,5549.0,5.18509990499183e-09,-0.10999999940395355,0.05999999865889549,71.0999984741211,0.10000000149011612,0.9300000071525574,b'HD 32793',75.40499999999999,-62.09
b'HD 33649',b'',b'H09',4.329999923706055,6575.0,2.5986999219185236e-08,0.05000000074505806,-0.03999999910593033,28.299999237060547,0.10000000149011612,1.309999942779541,b'HD 33649',77.41541666666666,-44.33527777777778
b'HD 33673',b'',b'H09',4.230000019073486,7127.0,9.357099983731132e-09,-0.05999999865889549,0.019999999552965164,34.20000076293945,0.8999999761581421,1.4800000190734863,b'HD 33673',78.08458333333333,11.362777777777778
b'HD 35041',b'',b'H09',4.46999979019165,5828.0,2.319199943201511e-08,-0.20999999344348907,0.10000000149011612,-4.300000190734863,0.5,0.9900000095367432,b'HD 35041',80.30374999999998,-14.152222222222223
b'HD 35060',b'',b'H09',4.239999771118164,7017.0,1.2746999900059564e-08,0.25,-0.009999999776482582,,0.30000001192092896,1.5399999618530273,b'HD 35060',80.92875000000001,37.18888888888888
b'HD 35689',b'',b'H09',4.340000152587891,6606.0,1.6400999669485827e-08,-0.41999998688697815,0.1899999976158142,2.4000000953674316,0.4000000059604645,1.2100000381469727,b'HD 35689',81.02208333333333,-47.34055555555556
b'HD 35828',b'',b'H09',4.480000019073486,5718.0,6.73309985543824e-09,-0.27000001072883606,0.20000000298023224,50.79999923706055,0.20000000298023224,0.9800000190734863,b'HD 35828',79.53625,-76.9038888888889
b'HD 36008',b'',b'H09',4.360000133514404,6339.0,1.9088000513534098e-08,-0.10000000149011612,0.029999999329447746,15.899999618530273,0.30000001192092896,1.1799999475479126,b'HD 36008',81.42708333333333,-53.480555555555554
b'HD 36152',b'',b'H09',4.449999809265137,5804.0,1.3362999595756264e-08,0.029999999329447746,-0.009999999776482582,-9.699999809265137,0.5,1.0199999809265137,b'HD 36152',82.24624999999999,-17.429166666666667
b'HD 36518',b'',b'H09',4.5,5719.0,1.3198000026193313e-08,-0.25999999046325684,0.10999999940395355,50.5,0.20000000298023224,0.9599999785423279,b'HD 36518',82.62666666666667,-37.2025
b'HD 36767',b'',b'H09',4.400000095367432,6112.0,3.630999856341077e-08,-0.20999999344348907,0.10000000149011612,46.0,0.4000000059604645,1.090000033378601,b'HD 36767',81.32916666666667,-75.69222222222223
b'HD 37003',b'',b'H09',4.349999904632568,6423.0,1.444499986291703e-08,-0.1599999964237213,0.05999999865889549,18.299999237060547,0.5,1.2100000381469727,b'HD 37003',83.38291666666665,-40.9325
b'HD 37466',b'',b'H09',4.320000171661377,6791.0,3.648899848940346e-08,-0.20000000298023224,0.11999999731779099,-18.399999618530273,0.10000000149011612,1.3300000429153442,b'HD 37466',84.96416666666667,24.225277777777777
b'HD 37472',b'',b'H09',4.260000228881836,6987.0,2.5637000078404526e-08,-0.23000000417232513,0.09000000357627869,,0.8999999761581421,1.3899999856948853,b'HD 37472',84.4225,-26.718055555555555
b'HD 37484',b'',b'H09',4.320000171661377,6744.0,3.2388999926524775e-08,-0.09000000357627869,0.05000000074505806,,0.10000000149011612,1.3300000429153442,b'HD 37484',84.41499999999999,-28.62611111111111
b'HD 38078',b'',b'H09',4.53000020980835,5760.0,7.111299993312059e-09,-0.38999998569488525,0.2199999988079071,15.699999809265137,0.20000000298023224,0.9599999785423279,b'HD 38078',85.3475,-35.71388888888889
