HIP,Memb,Simbad,_RA,_DE,RA,DEC
79785.0,77.0,b'Simbad',244.24486,-21.30413,244.24486,-21.30413
79860.0,72.0,b'Simbad',244.5228,-31.65175,244.5228,-31.65175
79878.0,89.0,b'Simbad',244.56733,-28.04171,244.56733,-28.04171
79897.0,90.0,b'Simbad',244.61774,-23.2743,244.61774,-23.2743
79910.0,88.0,b'Simbad',244.6631,-21.59285,244.6631,-21.59285
79977.0,90.0,b'Simbad',244.87184,-21.40369,244.87184,-21.40369
80024.0,82.0,b'Simbad',245.02289,-20.0564,245.02289,-20.0564
80036.0,68.0,b'Simbad',245.06464,-28.71691,245.06464,-28.71691
80059.0,84.0,b'Simbad',245.11721,-21.50902,245.11721,-21.50902
80062.0,57.0,b'Simbad',245.12735,-20.11444,245.12735,-20.11444
80088.0,87.0,b'Simbad',245.2093,-22.59411,245.2093,-22.59411
80112.0,56.0,b'Simbad',245.29715,-25.59279,245.29715,-25.59279
80126.0,86.0,b'Simbad',245.32996,-23.70799,245.32996,-23.70799
80130.0,89.0,b'Simbad',245.33812,-22.10896,245.33812,-22.10896
80238.0,92.0,b'Simbad',245.71574,-23.11876,245.71574,-23.11876
80311.0,86.0,b'Simbad',245.94654,-26.27104,245.94654,-26.27104
80324.0,92.0,b'Simbad',245.98631,-33.1994,245.98631,-33.1994
80371.0,85.0,b'Simbad',246.08881,-25.0254,246.08881,-25.0254
80390.0,79.0,b'Simbad',246.13231,-37.56604,246.13231,-37.56604
80425.0,66.0,b'Simbad',246.24644,-25.355,246.24644,-25.355
80461.0,81.0,b'Simbad',246.35118,-23.46022,246.35118,-23.46022
80475.0,52.0,b'Simbad',246.40232,-32.07673,246.40232,-32.07673
80493.0,86.0,b'Simbad',246.46108,-26.56842,246.46108,-26.56842
80535.0,90.0,b'Simbad',246.62463,-27.68896,246.62463,-27.68896
80569.0,55.0,b'Simbad',246.75598,-18.45625,246.75598,-18.45625
80591.0,84.0,b'Simbad',246.81076,-39.82277,246.81076,-39.82277
80711.0,53.0,b'Simbad',247.18572,-17.47759,247.18572,-17.47759
80799.0,91.0,b'Simbad',247.47748,-24.97947,247.47748,-24.97947
80815.0,62.0,b'Simbad',247.55198,-25.11522,247.55198,-25.11522
80896.0,86.0,b'Simbad',247.79611,-29.9979,247.79611,-29.9979
80911.0,85.0,b'Simbad',247.84555,-34.70437,247.84555,-34.70437
81208.0,58.0,b'Simbad',248.80766,-35.72464,248.80766,-35.72464
81266.0,89.0,b'Simbad',248.97064,-28.21602,248.97064,-28.21602
81447.0,59.0,b'Simbad',249.52303,-34.01962,249.52303,-34.01962
81455.0,76.0,b'Simbad',249.54505,-29.6779,249.54505,-29.6779
81474.0,91.0,b'Simbad',249.61939,-18.22048,249.61939,-18.22048
81477.0,53.0,b'Simbad',249.62893,-39.15233,249.62893,-39.15233
81624.0,79.0,b'Simbad',250.07468,-23.89588,250.07468,-23.89588
81751.0,78.0,b'Simbad',250.46668,-40.46623,250.46668,-40.46623
81891.0,58.0,b'Simbad',250.91135,-32.10594,250.91135,-32.10594
81914.0,58.0,b'Simbad',250.97532,-41.11334,250.97532,-41.11334
81949.0,74.0,b'Simbad',251.08789,-44.37874,251.08789,-44.37874
81972.0,59.0,b'Simbad',251.17747,-40.83967,251.17747,-40.83967
82069.0,51.0,b'Simbad',251.45193,-26.64942,251.45193,-26.64942
82218.0,89.0,b'Simbad',251.94724,-19.87554,251.94724,-19.87554
82319.0,51.0,b'Simbad',252.3009,-22.71157,252.3009,-22.71157
82397.0,81.0,b'Simbad',252.54462,-26.74255,252.54462,-26.74255
82430.0,78.0,b'Simbad',252.68966,-38.25642,252.68966,-38.25642
82514.0,65.0,b'Simbad',252.96763,-38.04738,252.96763,-38.04738
82534.0,89.0,b'Simbad',253.05547,-26.91967,253.05547,-26.91967
82545.0,86.0,b'Simbad',253.08394,-38.01753,253.08394,-38.01753
82554.0,71.0,b'Simbad',253.11423,-40.72316,253.11423,-40.72316
82560.0,75.0,b'Simbad',253.13287,-42.99179,253.13287,-42.99179
82569.0,63.0,b'Simbad',253.17382,-38.76035,253.17382,-38.76035
82714.0,54.0,b'Simbad',253.60998,-33.47535,253.60998,-33.47535
83159.0,62.0,b'Simbad',254.92696,-37.43804,254.92696,-37.43804
83508.0,64.0,b'Simbad',256.00339,-25.698,256.00339,-25.698
