RIK,_2MASS,EWLi,e_EWLi,EWHa,e_EWHa,SpT,AV,D,_2M,Simbad,RA,DEC
166.0,b'J16172615-2450592',0.44999998807907104,0.019999999552965164,-5.710000038146973,0.03999999910593033,b'M2.5',1.2999999523162842,0.0,b'2M',b'Simbad',244.35895833333333,-24.849777777777778
167.0,b'J16172769-2421025',0.550000011920929,0.03999999910593033,-7.420000076293945,0.6600000262260437,b'M4.5',0.6000000238418579,0.0,b'2M',b'Simbad',244.36541666666665,-24.350722222222224
168.0,b'J16172994-2451030',0.3400000035762787,0.019999999552965164,-6.96999979019165,0.03999999910593033,b'M2.5',1.399999976158142,0.0,b'2M',b'Simbad',244.37479166666668,-24.85088888888889
169.0,b'J16173031-2438390',0.5799999833106995,0.029999999329447746,-1.7200000286102295,0.05000000074505806,b'M0.0',1.600000023841858,0.0,b'2M',b'Simbad',244.37633333333332,-24.644222222222222
170.0,b'J16173138-2303360',0.23999999463558197,0.019999999552965164,1.0499999523162842,0.029999999329447746,b'K1.5',0.0,0.0,b'2M',b'Simbad',244.38075,-23.060000000000002
171.0,b'J16175501-2711303',0.46000000834465027,0.019999999552965164,-2.950000047683716,0.03999999910593033,b'M1.5',0.20000000298023224,0.0,b'2M',b'Simbad',244.47924999999998,-27.191777777777776
172.0,b'J16181997-2005348',0.33000001311302185,0.029999999329447746,1.2400000095367432,0.03999999910593033,b'K1.5',0.4000000059604645,0.0,b'2M',b'Simbad',244.58324999999996,-20.093027777777777
173.0,b'J16190214-2138097',0.4300000071525574,0.019999999552965164,-6.130000114440918,0.05000000074505806,b'M4.5',0.20000000298023224,0.0,b'2M',b'Simbad',244.75895833333328,-21.636027777777777
174.0,b'J16191473-2532314',0.3400000035762787,0.019999999552965164,0.5899999737739563,0.019999999552965164,b'K4.5',0.699999988079071,0.0,b'2M',b'Simbad',244.81141666666662,-25.54202777777778
175.0,b'J16191608-2915126',0.5199999809265137,0.019999999552965164,-4.940000057220459,0.03999999910593033,b'M4.0',0.20000000298023224,0.0,b'2M',b'Simbad',244.81704166666665,-29.253527777777776
176.0,b'J16193139-2518127',0.4000000059604645,0.029999999329447746,0.44999998807907104,0.03999999910593033,b'K6.0',0.8999999761581421,0.0,b'2M',b'Simbad',244.88079166666665,-25.303555555555555
177.0,b'J16194309-2216175',0.6899999976158142,0.05000000074505806,-2.7799999713897705,0.10000000149011612,b'M4.5',0.5,0.0,b'2M',b'Simbad',244.9295833333333,-22.271555555555555
178.0,b'J16194538-2147577',0.3499999940395355,0.029999999329447746,-2.559999942779541,0.05000000074505806,b'M1.5',0.0,0.0,b'2M',b'Simbad',244.93908333333331,-21.799388888888892
179.0,b'J16194711-2203112',0.49000000953674316,0.03999999910593033,-8.670000076293945,0.07000000029802322,b'M5.0',0.5,1.0,b'2M',b'Simbad',244.94633333333329,-22.05311111111111
180.0,b'J16194836-2212519',0.4300000071525574,0.029999999329447746,-16.56999969482422,0.14000000059604645,b'M3.0',0.30000001192092896,0.0,b'2M',b'Simbad',244.95149999999995,-22.214388888888887
181.0,b'J16194880-2224472',0.8799999952316284,0.05999999865889549,-15.550000190734863,0.10000000149011612,b'M6.0',0.30000001192092896,0.0,b'2M',b'Simbad',244.95324999999994,-22.413194444444443
182.0,b'J16194885-2140360',0.5699999928474426,0.03999999910593033,-4.929999828338623,0.12999999523162842,b'M4.5',0.10000000149011612,0.0,b'2M',b'Simbad',244.9535833333333,-21.67666666666667
183.0,b'J16200616-2212385',0.6000000238418579,0.029999999329447746,-2.490000009536743,0.05999999865889549,b'M3.5',0.20000000298023224,1.0,b'2M',b'Simbad',245.0256666666666,-22.210694444444442
184.0,b'J16200686-2247320',0.5199999809265137,0.03999999910593033,-8.630000114440918,0.20999999344348907,b'M4.5',0.8999999761581421,0.0,b'2M',b'Simbad',245.0285833333333,-22.792250000000003
185.0,b'J16202163-2005348',1.0700000524520874,0.25,-5.849999904632568,0.9599999785423279,b'M7.5',2.799999952316284,0.0,b'2M',b'Simbad',245.09016666666662,-20.093
186.0,b'J16202498-2150240',0.4699999988079071,0.019999999552965164,-4.610000133514404,0.09000000357627869,b'M2.0',0.20000000298023224,0.0,b'2M',b'Simbad',245.1040833333333,-21.839972222222222
187.0,b'J16202724-2126068',0.5199999809265137,0.03999999910593033,-2.509999990463257,0.05000000074505806,b'M1.5',0.0,0.0,b'2M',b'Simbad',245.11349999999993,-21.43525
188.0,b'J16203246-2257452',0.5099999904632568,0.009999999776482582,-7.119999885559082,0.03999999910593033,b'M2.5',1.399999976158142,0.0,b'2M',b'Simbad',245.13524999999996,-22.96261111111111
189.0,b'J16203640-2123120',0.6499999761581421,0.03999999910593033,-13.010000228881836,0.09000000357627869,b'M4.5',0.5,0.0,b'2M',b'Simbad',245.1517083333333,-21.386666666666667
190.0,b'J16204578-2849201',0.6600000262260437,0.07000000029802322,-5.670000076293945,0.10999999940395355,b'M2.0',0.30000001192092896,0.0,b'2M',b'Simbad',245.1907916666666,-28.82225
191.0,b'J16205095-2253399',0.49000000953674316,0.019999999552965164,-1.5199999809265137,0.03999999910593033,b'M1.0',1.5,0.0,b'2M',b'Simbad',245.2122916666666,-22.894472222222223
192.0,b'J16211584-2240045',0.5299999713897705,0.019999999552965164,-5.349999904632568,0.05999999865889549,b'M1.5',0.8999999761581421,0.0,b'2M',b'Simbad',245.316,-22.667916666666667
193.0,b'J16212953-2529431',0.28999999165534973,0.019999999552965164,-4.289999961853027,0.05999999865889549,b'M2.5',0.699999988079071,0.0,b'2M',b'Simbad',245.373125,-25.495305555555557
194.0,b'J16212961-2129038',0.9300000071525574,0.09000000357627869,-13.949999809265137,0.4699999988079071,b'M5.5',0.800000011920929,0.0,b'2M',b'Simbad',245.37341666666663,-21.48438888888889
